Variation,Embedding,Classifier,Accuracy,Precision,Recall,F1_Score
var_1_all_preprocessing,TFIDF,Naive_Bayes,54.76,56.73,54.76,53.69
var_1_all_preprocessing,TFIDF,LinearSVC,68.65,69.76,68.65,68.5
var_1_all_preprocessing,TFIDF,MLP_NeuralNet,68.65,69.07,68.65,68.58
var_1_all_preprocessing,TFIDF,XGBoost,63.49,66.62,63.49,63.51
var_1_all_preprocessing,W2V,Naive_Bayes,42.86,53.42,42.86,34.22
var_1_all_preprocessing,W2V,LinearSVC,65.87,66.51,65.87,65.86
var_1_all_preprocessing,W2V,MLP_NeuralNet,52.78,53.04,52.78,52.68
var_1_all_preprocessing,W2V,XGBoost,63.1,63.66,63.1,62.99
var_1_all_preprocessing,GLOVE,Naive_Bayes,44.44,51.84,44.44,36.94
var_1_all_preprocessing,GLOVE,LinearSVC,70.63,71.2,70.63,70.36
var_1_all_preprocessing,GLOVE,MLP_NeuralNet,55.95,56.67,55.95,55.32
var_1_all_preprocessing,GLOVE,XGBoost,63.49,64.12,63.49,63.35
var_1_all_preprocessing,FASTTEXT,Naive_Bayes,39.68,42.01,39.68,30.47
var_1_all_preprocessing,FASTTEXT,LinearSVC,67.06,67.62,67.06,66.9
var_1_all_preprocessing,FASTTEXT,MLP_NeuralNet,61.9,62.52,61.9,61.8
var_1_all_preprocessing,FASTTEXT,XGBoost,59.13,59.56,59.13,58.76
var_1_all_preprocessing,BERT,Naive_Bayes,56.35,58.84,56.35,55.37
var_1_all_preprocessing,BERT,LinearSVC,66.27,66.54,66.27,66.36
var_1_all_preprocessing,BERT,MLP_NeuralNet,61.51,61.83,61.51,61.5
var_1_all_preprocessing,BERT,XGBoost,60.71,61.15,60.71,60.77
var_1_all_preprocessing,ROBERTA,Naive_Bayes,36.11,42.37,36.11,35.91
var_1_all_preprocessing,ROBERTA,LinearSVC,80.56,80.91,80.56,80.41
var_1_all_preprocessing,ROBERTA,MLP_NeuralNet,76.98,77.16,76.98,77.01
var_1_all_preprocessing,ROBERTA,XGBoost,73.81,73.79,73.81,73.79
var_1_all_preprocessing,SBERT,Naive_Bayes,77.38,78.29,77.38,77.43
var_1_all_preprocessing,SBERT,LinearSVC,78.17,79.93,78.17,78.03
var_1_all_preprocessing,SBERT,MLP_NeuralNet,67.46,67.92,67.46,67.19
var_1_all_preprocessing,SBERT,XGBoost,73.41,73.89,73.41,73.38
,,,,,,
var_2_normalising_casing_space,TFIDF,Naive_Bayes,48.02,48.75,48.02,45.15
var_2_normalising_casing_space,TFIDF,LinearSVC,60.71,61.83,60.71,60.5
var_2_normalising_casing_space,TFIDF,MLP_NeuralNet,56.75,57.82,56.75,56.79
var_2_normalising_casing_space,TFIDF,XGBoost,53.57,57.63,53.57,51.98
var_2_normalising_casing_space,W2V,Naive_Bayes,42.46,52.59,42.46,33.52
var_2_normalising_casing_space,W2V,LinearSVC,66.27,67.13,66.27,66.24
var_2_normalising_casing_space,W2V,MLP_NeuralNet,51.98,52.59,51.98,51.91
var_2_normalising_casing_space,W2V,XGBoost,63.1,63.72,63.1,63.13
var_2_normalising_casing_space,GLOVE,Naive_Bayes,43.65,50.68,43.65,35.69
var_2_normalising_casing_space,GLOVE,LinearSVC,71.83,72.34,71.83,71.48
var_2_normalising_casing_space,GLOVE,MLP_NeuralNet,59.52,60.16,59.52,59.01
var_2_normalising_casing_space,GLOVE,XGBoost,61.9,61.98,61.9,61.78
var_2_normalising_casing_space,FASTTEXT,Naive_Bayes,39.68,45.09,39.68,29.99
var_2_normalising_casing_space,FASTTEXT,LinearSVC,70.24,70.82,70.24,70.12
var_2_normalising_casing_space,FASTTEXT,MLP_NeuralNet,59.92,60.23,59.92,59.99
var_2_normalising_casing_space,FASTTEXT,XGBoost,61.11,61.59,61.11,60.76
var_2_normalising_casing_space,BERT,Naive_Bayes,55.16,57.49,55.16,55.15
var_2_normalising_casing_space,BERT,LinearSVC,63.1,63.6,63.1,63.18
var_2_normalising_casing_space,BERT,MLP_NeuralNet,53.17,54.64,53.17,53.1
var_2_normalising_casing_space,BERT,XGBoost,63.1,62.99,63.1,62.92
var_2_normalising_casing_space,ROBERTA,Naive_Bayes,36.9,44.17,36.9,37.08
var_2_normalising_casing_space,ROBERTA,LinearSVC,79.37,79.91,79.37,79.26
var_2_normalising_casing_space,ROBERTA,MLP_NeuralNet,67.06,67.84,67.06,67.11
var_2_normalising_casing_space,ROBERTA,XGBoost,69.84,70.39,69.84,69.83
var_2_normalising_casing_space,SBERT,Naive_Bayes,73.41,74.79,73.41,73.41
var_2_normalising_casing_space,SBERT,LinearSVC,76.98,78.16,76.98,76.87
var_2_normalising_casing_space,SBERT,MLP_NeuralNet,68.25,68.33,68.25,68.1
var_2_normalising_casing_space,SBERT,XGBoost,75.4,76,75.4,75.33
,,,,,,
var_3_all_no_emoji,TFIDF,Naive_Bayes,49.21,49.89,49.21,46.7
var_3_all_no_emoji,TFIDF,LinearSVC,57.14,58.34,57.14,56.73
var_3_all_no_emoji,TFIDF,MLP_NeuralNet,57.94,59.34,57.94,57.38
var_3_all_no_emoji,TFIDF,XGBoost,55.16,57.93,55.16,53.38
var_3_all_no_emoji,W2V,Naive_Bayes,42.46,52.59,42.46,33.52
var_3_all_no_emoji,W2V,LinearSVC,65.48,66.11,65.48,65.43
var_3_all_no_emoji,W2V,MLP_NeuralNet,50.79,51.06,50.79,50.23
var_3_all_no_emoji,W2V,XGBoost,67.06,67.62,67.06,67.18
var_3_all_no_emoji,GLOVE,Naive_Bayes,43.65,50.68,43.65,35.69
var_3_all_no_emoji,GLOVE,LinearSVC,71.03,71.7,71.03,70.73
var_3_all_no_emoji,GLOVE,MLP_NeuralNet,51.59,51.29,51.59,50.95
var_3_all_no_emoji,GLOVE,XGBoost,59.52,60.74,59.52,59.46
var_3_all_no_emoji,FASTTEXT,Naive_Bayes,39.68,45.09,39.68,29.99
var_3_all_no_emoji,FASTTEXT,LinearSVC,69.84,70.39,69.84,69.74
var_3_all_no_emoji,FASTTEXT,MLP_NeuralNet,60.71,60.66,60.71,60.59
var_3_all_no_emoji,FASTTEXT,XGBoost,55.95,57.57,55.95,55.61
var_3_all_no_emoji,BERT,Naive_Bayes,56.35,58.55,56.35,56.32
var_3_all_no_emoji,BERT,LinearSVC,64.29,64.82,64.29,64.33
var_3_all_no_emoji,BERT,MLP_NeuralNet,56.35,56.6,56.35,56.37
var_3_all_no_emoji,BERT,XGBoost,63.89,64.29,63.89,63.89
var_3_all_no_emoji,ROBERTA,Naive_Bayes,36.51,44.88,36.51,36.88
var_3_all_no_emoji,ROBERTA,LinearSVC,78.97,79.77,78.97,78.86
var_3_all_no_emoji,ROBERTA,MLP_NeuralNet,68.25,68.32,68.25,68.28
var_3_all_no_emoji,ROBERTA,XGBoost,70.63,70.8,70.63,70.54
var_3_all_no_emoji,SBERT,Naive_Bayes,73.41,74.79,73.41,73.41
var_3_all_no_emoji,SBERT,LinearSVC,77.78,78.75,77.78,77.61
